datetime,duration,msisdn,cell_id,latitude,longitude
5/30/2025 16:39,27,231770090556,10102,6.29056,-10.776
5/30/2025 16:42,24,231770090556,10102,6.29056,-10.776
5/30/2025 17:47,59,231770090556,10106,6.29056,-10.776
5/30/2025 19:10,11,231770090556,10102,6.29056,-10.776
5/30/2025 19:31,26,231770090556,10311,6.29456,-10.7851
5/30/2025 19:36,41,231770090556,15703,6.29759,-10.7819
5/30/2025 20:04,21,231770090556,15703,6.29759,-10.7819
5/30/2025 20:05,40,231770090556,15706,6.29759,-10.7819
5/30/2025 6:52,130,231770107539,15253,6.36127,-10.6874
5/30/2025 8:09,209,231770107539,15253,6.36127,-10.6874
5/30/2025 9:05,37,231770107539,15253,6.36127,-10.6874
5/30/2025 9:22,41,231770107539,15252,6.36127,-10.6874
5/30/2025 9:28,82,231770107539,15252,6.36127,-10.6874
5/30/2025 10:41,64,231770107539,15252,6.36127,-10.6874
5/30/2025 11:21,1,231770107539,11631,6.29823,-10.7696
5/30/2025 11:26,100,231770107539,15253,6.36127,-10.6874
5/30/2025 12:22,32,231770107539,15252,6.36127,-10.6874
5/30/2025 14:03,34,231770107539,15252,6.36127,-10.6874
5/30/2025 14:32,15,231770107539,15253,6.36127,-10.6874
5/30/2025 14:37,14,231770107539,15251,6.36127,-10.6874
5/30/2025 14:38,12,231770107539,15252,6.36127,-10.6874
5/30/2025 14:42,15,231770107539,15253,6.36127,-10.6874
5/30/2025 14:43,10,231770107539,15253,6.36127,-10.6874
5/30/2025 19:03,65,231770107539,15252,6.36127,-10.6874
5/30/2025 19:20,26,231770107539,14281,6.30007,-10.6834
5/30/2025 19:21,1,231770107539,15891,6.33127,-10.6851
5/30/2025 19:53,70,231770107539,15253,6.36127,-10.6874
5/30/2025 22:30,21,231770107539,15881,6.3533,-10.6871
5/30/2025 6:41,145,231770266029,15142,6.3396799999999995,-10.6618
5/30/2025 13:43,103,231770266029,12817,6.32129,-10.6708
5/30/2025 13:45,185,231770266029,12811,6.32129,-10.6708
5/30/2025 14:57,13,231770266029,17276,6.32154,-10.6552
5/30/2025 15:07,19,231770266029,17276,6.32154,-10.6552
5/30/2025 15:40,34,231770266029,17276,6.32154,-10.6552
5/30/2025 16:00,55,231770266029,17276,6.32154,-10.6552
5/30/2025 19:13,31,231770266029,12811,6.32129,-10.6708
5/30/2025 19:14,880,231770266029,12811,6.32129,-10.6708
5/30/2025 19:32,67,231770266029,12811,6.32129,-10.6708
5/30/2025 19:34,103,231770266029,12818,6.32129,-10.6708
5/30/2025 19:43,59,231770266029,17276,6.32154,-10.6552
5/30/2025 19:45,86,231770266029,17276,6.32154,-10.6552
5/30/2025 20:01,10,231770266029,15143,6.3396799999999995,-10.6618
5/30/2025 20:30,335,231770266029,12811,6.32129,-10.6708
5/30/2025 20:36,426,231770266029,12811,6.32129,-10.6708
5/30/2025 21:54,40,231770266029,12817,6.32129,-10.6708
5/30/2025 21:54,40,231770266029,11411,6.2472,-10.4231
5/30/2025 21:55,9,231770266029,12811,6.32129,-10.6708
